
Thu Jun 21 17:25:01 CEST 2018;server send;10240;307;net;test;;;
Thu Jun 21 17:36:06 CEST 2018;server send;10240;105160;net;test;;;
Tue Jun 26 23:48:53 CEST 2018;server send;10240;3828;local net;test;;;
Tue Jun 26 23:49:21 CEST 2018;server send;102400;74;local net;test;;;
Tue Jun 26 23:49:33 CEST 2018;server send;1024000;157;local net;test;;;
Tue Jun 26 23:49:45 CEST 2018;server send;10240000;1041;local net;test;;;
