
Mon Sep 10 20:23:47 CEST 2018;server write;1024;123;net;1;;;
Mon Sep 10 20:25:47 CEST 2018;server read;1024;119;net;1;;;
Mon Sep 10 20:25:48 CEST 2018;memory write;1024;0;ssd;1;;;
Mon Sep 10 20:25:48 CEST 2018;memory read;1024;0;ssd;1;;;
Mon Sep 10 20:27:40 CEST 2018;server write;2048;112;net;1;;;
Mon Sep 10 20:29:39 CEST 2018;server read;2048;118;net;1;;;
Mon Sep 10 20:29:40 CEST 2018;memory write;2048;0;ssd;1;;;
Mon Sep 10 20:29:40 CEST 2018;memory read;2048;0;ssd;1;;;
Mon Sep 10 20:31:38 CEST 2018;server write;4096;118;net;1;;;
Mon Sep 10 20:33:49 CEST 2018;server read;4096;130;net;1;;;
Mon Sep 10 20:33:50 CEST 2018;memory write;4096;0;ssd;1;;;
Mon Sep 10 20:33:50 CEST 2018;memory read;4096;0;ssd;1;;;
Mon Sep 10 20:35:49 CEST 2018;server write;8192;119;net;1;;;
Mon Sep 10 20:38:01 CEST 2018;server read;8192;132;net;1;;;
Mon Sep 10 20:38:02 CEST 2018;memory write;8192;0;ssd;1;;;
Mon Sep 10 20:38:02 CEST 2018;memory read;8192;0;ssd;1;;;
Mon Sep 10 20:40:13 CEST 2018;server write;16384;131;net;1;;;
Mon Sep 10 20:42:35 CEST 2018;server read;16384;142;net;1;;;
Mon Sep 10 20:42:36 CEST 2018;memory write;16384;0;ssd;1;;;
Mon Sep 10 20:42:36 CEST 2018;memory read;16384;0;ssd;1;;;
Mon Sep 10 20:44:54 CEST 2018;server write;32768;138;net;1;;;
Mon Sep 10 20:47:12 CEST 2018;server read;32768;137;net;1;;;
Mon Sep 10 20:47:13 CEST 2018;memory write;32768;0;ssd;1;;;
Mon Sep 10 20:47:13 CEST 2018;memory read;32768;0;ssd;1;;;
Mon Sep 10 20:49:44 CEST 2018;server write;65536;151;net;1;;;
Mon Sep 10 20:52:06 CEST 2018;server read;65536;141;net;1;;;
Mon Sep 10 20:52:06 CEST 2018;memory write;65536;0;ssd;1;;;
Mon Sep 10 20:52:06 CEST 2018;memory read;65536;0;ssd;1;;;
Mon Sep 10 20:55:12 CEST 2018;server write;131072;185;net;1;;;
Mon Sep 10 20:58:00 CEST 2018;server read;131072;168;net;1;;;
Mon Sep 10 20:58:01 CEST 2018;memory write;131072;0;ssd;1;;;
Mon Sep 10 20:58:01 CEST 2018;memory read;131072;0;ssd;1;;;
Mon Sep 10 21:01:41 CEST 2018;server write;262144;219;net;1;;;
Mon Sep 10 21:05:03 CEST 2018;server read;262144;202;net;1;;;
Mon Sep 10 21:05:04 CEST 2018;memory write;262144;0;ssd;1;;;
Mon Sep 10 21:05:04 CEST 2018;memory read;262144;0;ssd;1;;;
Mon Sep 10 21:10:29 CEST 2018;server write;524288;325;net;1;;;
Mon Sep 10 21:15:11 CEST 2018;server read;524288;281;net;1;;;
Mon Sep 10 21:15:12 CEST 2018;memory write;524288;1;ssd;1;;;
Mon Sep 10 21:15:12 CEST 2018;memory read;524288;0;ssd;1;;;
Mon Sep 10 21:24:44 CEST 2018;server write;1048576;571;net;1;;;
Mon Sep 10 21:31:53 CEST 2018;server read;1048576;429;net;1;;;
Mon Sep 10 21:31:58 CEST 2018;memory write;1048576;4;ssd;1;;;
Mon Sep 10 21:31:59 CEST 2018;memory read;1048576;0;ssd;1;;;
Tue Sep 11 13:02:20 CEST 2018;server write;1024;120;net;11;;;
Tue Sep 11 13:02:32 CEST 2018;server read;1024;113;net;11;;;
Tue Sep 11 13:02:32 CEST 2018;memory write;1024;0;ssd;11;;;
Tue Sep 11 13:02:32 CEST 2018;memory read;1024;0;ssd;11;;;
