
Sat Sep 15 10:29:06 CEST 2018;server write;1024;0.150;net;t1lan;;;
Sat Sep 15 10:29:12 CEST 2018;server read;1024;64.100;net;t1lan;;;
Sat Sep 15 10:29:12 CEST 2018;server write;2048;0.050;net;t1lan;;;
Sat Sep 15 10:29:18 CEST 2018;server read;2048;35.000;net;t1lan;;;
Sat Sep 15 10:29:18 CEST 2018;server write;4096;0.100;net;t1lan;;;
Sat Sep 15 10:29:23 CEST 2018;server read;4096;16.250;net;t1lan;;;
Sat Sep 15 10:29:23 CEST 2018;server write;8192;2.650;net;t1lan;;;
Sat Sep 15 10:29:29 CEST 2018;server read;8192;31.000;net;t1lan;;;
Sat Sep 15 10:29:29 CEST 2018;server write;16384;5.900;net;t1lan;;;
Sat Sep 15 10:29:35 CEST 2018;server read;16384;67.350;net;t1lan;;;
Sat Sep 15 10:29:36 CEST 2018;server write;32768;15.350;net;t1lan;;;
Sat Sep 15 10:29:42 CEST 2018;server read;32768;44.400;net;t1lan;;;
Sat Sep 15 10:29:43 CEST 2018;server write;65536;66.450;net;t1lan;;;
Sat Sep 15 10:29:49 CEST 2018;server read;65536;40.950;net;t1lan;;;
Sat Sep 15 10:29:50 CEST 2018;server write;131072;70.000;net;t1lan;;;
Sat Sep 15 10:29:58 CEST 2018;server read;131072;120.950;net;t1lan;;;
Sat Sep 15 10:30:14 CEST 2018;server write;262144;802.300;net;t1lan;;;
Sat Sep 15 10:30:20 CEST 2018;server read;262144;88.800;net;t1lan;;;
Sat Sep 15 10:30:28 CEST 2018;server write;524288;368.150;net;t1lan;;;
Sat Sep 15 10:30:35 CEST 2018;server read;524288;127.050;net;t1lan;;;
Sat Sep 15 10:30:55 CEST 2018;server write;1048576;977.250;net;t1lan;;;
Sat Sep 15 10:31:08 CEST 2018;server read;1048576;413.950;net;t1lan;;;
Sat Sep 15 10:31:43 CEST 2018;server write;2097152;1719.450;net;t1lan;;;
Sat Sep 15 10:32:01 CEST 2018;server read;2097152;693.350;net;t1lan;;;
Sat Sep 15 10:33:21 CEST 2018;server write;4194304;3953.950;net;t1lan;;;
Sat Sep 15 10:33:48 CEST 2018;server read;4194304;1121.200;net;t1lan;;;
Sat Sep 15 10:35:31 CEST 2018;server write;8388608;5150.850;net;t1lan;;;
Sat Sep 15 10:36:06 CEST 2018;server read;8388608;1517.650;net;t1lan;;;
Sat Sep 15 10:37:50 CEST 2018;server write;16777216;5171.900;net;t1lan;;;
Sat Sep 15 10:38:59 CEST 2018;server read;16777216;3197.950;net;t1lan;;;
