
Fri Sep 14 10:58:44 CEST 2018;server write;1024;0;net;lan12;;;
Fri Sep 14 10:58:44 CEST 2018;server read;1024;7;net;lan12;;;
Fri Sep 14 10:58:44 CEST 2018;server write;2048;0;net;lan12;;;
Fri Sep 14 10:58:45 CEST 2018;server read;2048;12;net;lan12;;;
Fri Sep 14 10:58:45 CEST 2018;server write;4096;0;net;lan12;;;
Fri Sep 14 10:58:46 CEST 2018;server read;4096;27;net;lan12;;;
Fri Sep 14 10:58:46 CEST 2018;server write;8192;6;net;lan12;;;
Fri Sep 14 10:58:47 CEST 2018;server read;8192;43;net;lan12;;;
Fri Sep 14 10:58:48 CEST 2018;server write;16384;25;net;lan12;;;
Fri Sep 14 10:58:49 CEST 2018;server read;16384;38;net;lan12;;;
Fri Sep 14 10:58:51 CEST 2018;server write;32768;60;net;lan12;;;
Fri Sep 14 10:58:53 CEST 2018;server read;32768;58;net;lan12;;;
Fri Sep 14 10:58:56 CEST 2018;server write;65536;105;net;lan12;;;
Fri Sep 14 10:59:03 CEST 2018;server read;65536;228;net;lan12;;;
Fri Sep 14 10:59:18 CEST 2018;server write;131072;514;net;lan12;;;
Fri Sep 14 10:59:32 CEST 2018;server read;131072;469;net;lan12;;;
Fri Sep 14 11:00:05 CEST 2018;server write;262144;1089;net;lan12;;;
Fri Sep 14 11:00:14 CEST 2018;server read;262144;314;net;lan12;;;
Fri Sep 14 11:01:26 CEST 2018;server write;524288;2405;net;lan12;;;
Fri Sep 14 11:01:53 CEST 2018;server read;524288;870;net;lan12;;;
Fri Sep 14 11:04:06 CEST 2018;server write;1048576;4449;net;lan12;;;
Fri Sep 14 11:04:49 CEST 2018;server read;1048576;1437;net;lan12;;;
Fri Sep 14 11:08:26 CEST 2018;server write;2097152;7214;net;lan12;;;
Fri Sep 14 11:09:42 CEST 2018;server read;2097152;2539;net;lan12;;;
Fri Sep 14 11:18:38 CEST 2018;server write;4194304;11321;net;lan12;;;
Fri Sep 14 11:19:09 CEST 2018;server read;4194304;6267;net;lan12;;;
Fri Sep 14 12:16:05 CEST 2018;server write;1024;0.100;net;lan2h;;;
Fri Sep 14 12:16:05 CEST 2018;server read;1024;2.300;net;lan2h;;;
Fri Sep 14 12:16:05 CEST 2018;memory write;1024;5.100;hdd;lan2h;;;
Fri Sep 14 12:16:05 CEST 2018;memory read;1024;0.300;hdd;lan2h;;;
Fri Sep 14 12:16:05 CEST 2018;server write;2048;0.000;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server read;2048;7.200;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory write;2048;0.500;hdd;lan2h;;;
